case_id,risc,lifecycle:transition,trace,duration
1,7.09295862372,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",44
10,11.856513626,complete,"('create application', 'cancel appointment')",70
100,0.308205441105,complete,"('create application', 'in-person appointment 1', 'check documents')",12
1000,0.0313871958168,complete,"('create application', 'check documents', 'in-person appointment 1')",45
10000,9.02493662585,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",34
1001,8.02996666023,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",38
1002,30.2101363923,complete,"('create application', 'cancel appointment')",43
1003,17.5159783543,complete,"('create application', 'cancel appointment')",40
1004,9.06733073667,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",45
1005,10.9796906205,complete,"('create application', 'cancel appointment')",123
1006,15.4549642144,complete,"('create application', 'cancel appointment')",33
1007,31.5243774784,complete,"('create application', 'cancel appointment')",113
1008,9.82297551697,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",56
1009,1.09627458389,complete,"('create application', 'check documents', 'in-person appointment 1')",166
101,12.3351297608,complete,"('create application', 'cancel appointment')",49
1010,1.27189684179,complete,"('create application', 'in-person appointment 1', 'check documents')",15
1011,3.94376962711,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",28
1012,15.5885556774,complete,"('create application', 'cancel appointment')",27
1013,6.43657748696,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",114
1014,36.6505663801,complete,"('create application', 'cancel appointment')",101
1015,0.984573131397,complete,"('create application', 'check documents', 'in-person appointment 1')",101
1016,9.40903007877,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",48
1017,1.30589513504,complete,"('create application', 'check documents', 'in-person appointment 1')",46
1018,2.31675059478,complete,"('create application', 'in-person appointment 1', 'check documents')",71
1019,9.63088076104,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",96
102,0.259499898121,complete,"('create application', 'in-person appointment 1', 'check documents')",27
1020,10.381375307,complete,"('create application', 'cancel appointment')",15
1021,3.7842946323,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",7
1022,15.7155217502,complete,"('create application', 'cancel appointment')",5
1023,3.18780126853,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",107
1024,13.9590084744,complete,"('create application', 'cancel appointment')",10
1025,0.202482590855,complete,"('create application', 'check documents', 'in-person appointment 1')",34
1026,1.03515443076,complete,"('create application', 'in-person appointment 1', 'check documents')",30
1027,1.54131301443,complete,"('create application', 'in-person appointment 1', 'check documents')",14
1028,13.5253352713,complete,"('create application', 'cancel appointment')",6
1029,3.33032056732,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",29
103,1.52607605901,complete,"('create application', 'check documents', 'in-person appointment 1')",0
1030,3.44331110693,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",28
1031,2.19791126143,complete,"('create application', 'check documents', 'in-person appointment 1')",82
1032,23.3213843207,complete,"('create application', 'cancel appointment')",37
1033,15.6617853977,complete,"('create application', 'cancel appointment')",24
1034,20.6171648136,complete,"('create application', 'cancel appointment')",65
1035,64.7418101264,complete,"('create application', 'cancel appointment')",8
1036,9.39676882337,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",54
1037,25.761763195,complete,"('create application', 'cancel appointment')",23
1038,12.2553435697,complete,"('create application', 'cancel appointment')",5
1039,5.24373256391,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",53
104,6.74865669077,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",155
1040,10.317916908,complete,"('create application', 'cancel appointment')",63
1041,6.47793955881,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",74
1042,0.047306710354,complete,"('create application', 'check documents', 'in-person appointment 1')",33
1043,10.3170259048,complete,"('create application', 'cancel appointment')",50
1044,8.67399067277,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",70
1045,36.1083279525,complete,"('create application', 'cancel appointment')",94
1046,2.29599648523,complete,"('create application', 'in-person appointment 1', 'check documents')",24
1047,5.14317912935,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",8
1048,3.69379256764,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",32
1049,4.72406935761,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",81
105,5.12663116287,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",38
1050,10.6149965056,complete,"('create application', 'cancel appointment')",10
1051,0.937566457783,complete,"('create application', 'check documents', 'in-person appointment 1')",10
1052,0.59858831452,complete,"('create application', 'check documents', 'in-person appointment 1')",61
1053,3.29850766073,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",97
1054,37.8644130686,complete,"('create application', 'cancel appointment')",7
1055,2.28347370111,complete,"('create application', 'in-person appointment 1', 'check documents')",24
1056,0.499163787894,complete,"('create application', 'check documents', 'in-person appointment 1')",39
1057,7.23268721375,complete,"('create application', 'check documents', 'in-person appointment 1', 'request documents', 'in-person appointment 2')",95
1058,0.520544066889,complete,"('create application', 'in-person appointment 1', 'check documents')",17
1059,0.46608515352,complete,"('create application', 'check documents', 'in-person appointment 1')",38
106,9.81999189797,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",31
1060,24.962522885,complete,"('create application', 'cancel appointment')",16
1061,3.95386552256,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",22
1062,0.743930166468,complete,"('create application', 'check documents', 'in-person appointment 1')",14
1063,10.0590833396,complete,"('create application', 'cancel appointment')",54
1064,18.9143404336,complete,"('create application', 'cancel appointment')",42
1065,1.03749814865,complete,"('create application', 'check documents', 'in-person appointment 1')",20
1066,18.2436650094,complete,"('create application', 'cancel appointment')",4
1067,6.61051640662,complete,"('create application', 'in-person appointment 1', 'check documents', 'request documents', 'in-person appointment 2')",16
1068,13.8883229955,complete,"('create application', 'cancel appointment')",36
